Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"def remove_Occ(s,ch):
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
            #begin to write code
",166,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","def remove_Occ(s, ch):
    """"""
    Removes the first and last occurrence of a given character from the string.
    
    Parameters:
    - s (str): The input string.
    - ch (str): The character to remove from the string.
    
    Returns:
    - str: The modified string with the first and last occurrence of the character removed.
    """"""
    if not s or not ch:
        return s
    
    # Remove the first occurrence of the character
    s = s.replace(ch, '')
    
    # Remove the last occurrence of the character
    s = s.replace(ch, '')
    
    return s
",,,,-2,1,0.22819430430730184,rename:None,0.0,0.0,
1,"def sort_matrix(M):
    result = sorted(M, key=sum)
    #begin to write code
",77,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result

# Example usage:
matrix = [
    [3, 1, 4],
    [5, 9, 2],
    [6, 8, 1]
]

sorted_matrix = sort_matrix(matrix)
print(sorted_matrix)
","def slig_mztirc(M):
    result = sorted(M, key=sum)
    #begin to write code
","def slig_mztirc(M):
    result = sorted(M, key=sum)
    return result","def slig_mztirc(M):
    # Initialize an empty list to store the sorted matrices
    sorted_matrices = []
    
    # Iterate over each row in the matrix
    for row in M:
        # Calculate the sum of the elements in the current row
        row_sum = sum(row)
        
        # Create a new matrix with the same structure but with the sum as the row sum
        new_row = [row_sum] * len(row)
        
        # Append the new matrix to the sorted_matrices list
        sorted_matrices.append(new_row)
    
    # Sort the list of sorted matrices based on the sum of their rows
    sorted_matrices.sort(key=sum)
    
    return sorted_matrices

# Example usage:
M = [
    [3, 5, 7],
    [2, 8, 6],
    [4, 1, 9]
]

sorted_M = slig_mztirc(M)
print(sorted_M)
",1,3,0.4203782916069031,rename:random_filp_function_name,1.0,0.0,"{'def slig_mztirc(M):\n    result = sorted(M, key=sum)\n    return result': [('def slig_mztirc(M):\n    result = sorted(M, key=sum)\n    #begin to write code\n', 'def slig_mztirc(M):\n    # Initialize an empty list to store the sorted matrices\n    sorted_matrices = []\n    \n    # Iterate over each row in the matrix\n    for row in M:\n        # Calculate the sum of the elements in the current row\n        row_sum = sum(row)\n        \n        # Create a new matrix with the same structure but with the sum as the row sum\n        new_row = [row_sum] * len(row)\n        \n        # Append the new matrix to the sorted_matrices list\n        sorted_matrices.append(new_row)\n    \n    # Sort the list of sorted matrices based on the sum of their rows\n    sorted_matrices.sort(key=sum)\n    \n    return sorted_matrices\n\n# Example usage:\nM = [\n    [3, 5, 7],\n    [2, 8, 6],\n    [4, 1, 9]\n]\n\nsorted_M = slig_mztirc(M)\nprint(sorted_M)\n', 'random_filp_function_name')]}"
2,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  #begin to write code
",111,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
","from collections import Counter

def count_common(words):
    # Count the frequency of each word
    word_counts = Counter(words)
    
    # Find the maximum frequency
    max_frequency = max(word_counts.values())
    
    # Filter out words with the maximum frequency
    common_words = {word: count for word, count in word_counts.items() if count == max_frequency}
    
    return common_words

# Example usage
words = [""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""banana""]
common = count_common(words)
print(common)  # Output: {'apple': 3, 'banana': 3}
",,,,-2,1,0.20719810326894125,rename:None,0.0,0.0,
3,"def find_Volume(l,b,h) :
    #begin to write code
",50,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","from typing import *
from collections import *

def find_Volume(l, b, h):
    # Calculate the volume of a triangular prism using the formula: V = l * b * h / 3
    return l * b * h / 3

# Example usage:
l = 5
b = 3
h = 4
volume = find_Volume(l, b, h)
print(""The volume of the triangular prism is:"", volume)
",,,,-2,1,0.16478105783462524,rename:None,0.0,0.0,
4,"import re
def split_lowerstring(text):
    #begin to write code
",64,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))","import re

def split_lowerstring(text):
    # Use regular expression to split the text at lowercase letters
    return re.split(r'[a-z]', text)

# Example usage
text = ""Hello World""
result = split_lowerstring(text)
print(result)  # Output: ['Hello', 'World']
",,,,-2,1,0.16877269744873047,rename:None,0.0,0.0,
5,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
        #begin to write code
",152,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","import re

def text_lowercase_underscore(text):
    """"""
    Find sequences of lowercase letters joined with an underscore.
    
    Parameters:
    text (str): The input string to search for sequences of lowercase letters.
    
    Returns:
    list: A list of all sequences found in the input string.
    """"""
    # Regular expression pattern to match sequences of lowercase letters joined with an underscore
    pattern = '^[a-z]+_[a-z]+$'
    
    # Find all matches in the text
    matches = re.findall(pattern, text)
    
    return matches

# Example usage
input_text = ""HelloWorld""
print(text_lowercase_underscore(input_text))  # Output: ['hello', 'world']
",,,,-2,1,0.20498623847961425,rename:None,0.0,0.0,
6,"def square_perimeter(a):
  perimeter=4*a
  #begin to write code
",64,"def square_perimeter(a):
  perimeter=4*a
  return perimeter","def square_perimeter(a):
    perimeter = 4 * a
    return perimeter
","def y(var_0):
  var_1=4*var_0
  #begin to write code
","def y(var_0):
  var_1=4*var_0
  return var_1","# Import necessary packages
import math

def y(var_0):
    """"""
    Calculate the perimeter of a square.

    Parameters:
    - var_0 (int): The side length of the square.

    Returns:
    - int: The perimeter of the square.
    """"""
    var_1 = 4 * var_0
    return 4 * var_1

# Example usage
print(y(5))  # Output: 20
",1,9,0.9263920267422994,rename:normalize_identifer,1.0,0.0,"{'def y(var_0):\n  var_1=4*var_0\n  return var_1': [('def square_perimeter(var_0):\n  var_1=4*var_0\n  #begin to write code\n', 'def square_perimeter(var_0):\n    var_1 = 4 * var_0\n    return var_1\n\n# Example usage:\nprint(square_perimeter(5))  # Output: 20\n', 'normalize_identifer'), ('def square_perimeter(x):\n  y=4*x\n  #begin to write code\n', 'def square_perimeter(x):\n    y = 4 * x\n    return y\n\n# Example usage:\nprint(square_perimeter(5))\n', 'codebert_rename_identifier'), ('def y(x):\n  y=4*x\n  #begin to write code\n', 'def square_perimeter(side_length):\n    """"""\n    Calculate the perimeter of a square given its side length.\n\n    Parameters:\n    side_length (float): The length of one side of the square.\n\n    Returns:\n    float: The perimeter of the square.\n    """"""\n    return 4 * side_length\n\n# Example usage:\nside = 5\nperimeter = square_perimeter(side)\nprint(f""The perimeter of a square with side length {side} is {perimeter}."")\n', 'codebert_rename_func_name'), ('def y(var_0):\n  var_1=4*var_0\n  #begin to write code\n', '# Import necessary packages\nimport math\n\ndef y(var_0):\n    """"""\n    Calculate the perimeter of a square.\n\n    Parameters:\n    - var_0 (int): The side length of the square.\n\n    Returns:\n    - int: The perimeter of the square.\n    """"""\n    var_1 = 4 * var_0\n    return 4 * var_1\n\n# Example usage\nprint(y(5))  # Output: 20\n', 'normalize_identifer')]}"
7,"def str_to_list(string):
NO_OF_CHARS = 256
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
	#begin to write code
",295,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","from collections import Counter

def remove_chars_from_first_string(string, second_string):
    # Convert strings to lists
    list1 = str_to_list(string)
    list2 = str_to_list(second_string)
    
    # Find common characters
    common_chars = [char for char in list1 if char in list2]
    
    # Remove common characters from list1
    result_list = [char for char in list1 if char not in common_chars]
    
    # Join the result list back into a string
    return lst_to_string(result_list)

# Example usage
string = ""abcdefg""
second_string = ""ab""
print(remove_chars_from_first_string(string, second_string))  # Output: ""cdefg""
",,,,-2,1,0.18619584639867146,rename:None,0.0,0.0,
8,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    #begin to write code
",90,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","from typing import List

def test_duplicate(arraynums: List[int]) -> bool:
    """"""
    Check if the given array of integers contains any duplicate element.
    
    Parameters:
    arraynums (List[int]): The list of integers to check.
    
    Returns:
    bool: True if there is at least one duplicate element, False otherwise.
    """"""
    return len(arraynums)!= len(set(arraynums))

# Example usage
print(test_duplicate([1, 2, 3, 4, 5]))  # Output: True
print(test_duplicate([1, 2, 3, 4, 5, 6]))  # Output: False
print(test_duplicate([1, 2, 2, 3, 4]))  # Output: True
print(test_duplicate([1, 2, 3, 4, 5, 6, 7]))  # Output: False
","def match(var_0):
    var_1 = set(var_0)    
    #begin to write code
","def match(var_0):
    var_1 = set(var_0)    
    return len(var_0) != len(var_1)     ","def match(var_0):
    # Convert the list to a set to remove duplicates
    var_1 = set(var_0)
    
    # Compare the length of the set with the original list
    return len(var_1) == len(var_0)

# Example usage:
print(match([1, 2, 3, 4, 5]))  # Output: True
print(match([1, 2, 3, 4, 6]))  # Output: False
",1,7,0.910458775361379,rename:normalize_identifer,1.0,0.0,"{'def match(var_0):\n    var_1 = set(var_0)    \n    return len(var_0) != len(var_1)     ': [('def match(arraynums):\n    nums_set = set(arraynums)    \n    #begin to write code\n', 'def match(arraynums):\n    """"""\n    Check if there are any duplicate elements in the given array.\n\n    Parameters:\n    arraynums (list): A list of integers.\n\n    Returns:\n    bool: True if there are duplicates, False otherwise.\n    """"""\n    # Use a set to store unique elements\n    seen_elements = set()\n    \n    # Iterate through each element in the array\n    for num in arraynums:\n        # If the element is already in the set, return True\n        if num in seen_elements:\n            return True\n        # Add the current element to the set\n        seen_elements.add(num)\n    \n    # If no duplicates were found, return False\n    return False\n', 'codebert_rename_func_name'), ('def match(arraynums):\n    nuns_het = set(arraynums)    \n    #begin to write code\n', 'def match(arraynums):\n    """"""\n    Check if a given array of integers contains any duplicate element.\n\n    Parameters:\n    arraynums (list): A list of integers.\n\n    Returns:\n    bool: True if there are duplicates in the array, False otherwise.\n    """"""\n    return len(arraynums)!= len(set(arraynums))\n', 'random_flip_identifier'), ('def match(var_0):\n    var_1 = set(var_0)    \n    #begin to write code\n', 'def match(var_0):\n    # Convert the list to a set to remove duplicates\n    var_1 = set(var_0)\n    \n    # Compare the length of the set with the original list\n    return len(var_1) == len(var_0)\n\n# Example usage:\nprint(match([1, 2, 3, 4, 5]))  # Output: True\nprint(match([1, 2, 3, 4, 6]))  # Output: False\n', 'normalize_identifer')]}"
9,"def is_woodall(x):
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	#begin to write code
",123,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False","def is_woodball(x):
    """"""
    Check if the given number is woodball or not.

    Parameters:
    x (int): The number to check.

    Returns:
    bool: True if the number is woodball, False otherwise.
    """"""
    # BEGIN TO WRITE CODE
    # Your implementation goes here
    return x % 2 == 0 or x == 1
    # END TO WRITE CODE
",,,,-2,1,0.1630680799484253,rename:None,0.0,0.0,
