Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    //begin to write code
",214,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

","function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

// Example usage:
const originalString = ""hello world"";
const charToRemove = ""o"";
const modifiedString = remove_Occ(originalString, charToRemove);

",,,,-2,1,0.19770621061325072,rename:None,0.0,0.0,
1,"function sortMatrix(M) {
//begin to write code
",47,"function sortMatrix(M) {
    return M.sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));
}

","function sortMatrix(M) {
    // Sort the matrix based on the sum of its rows
    M.sort((a, b) => {
        return a.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0) - b.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0);
    });

    return M;
}

// Example usage:
const matrix = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
];
const sortedMatrix = sortMatrix(matrix);

",,,,-2,1,0.20669687986373902,rename:None,0.0,0.0,
2,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
        //begin to write code
",176,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    const sortedWordCounts = Object.entries(wordCounts).sort((a, b) => b[1] - a[1]);

    return sortedWordCounts.slice(0, 4);
}

","function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    let maxCount = 0;
    let mostCommonWords = [];

    for (const [word, count] of Object.entries(wordCounts)) {
        if (count > maxCount) {
            maxCount = count;
            mostCommonWords = [word];
        } else if (count === maxCount) {
            mostCommonWords.push(word);
        }
    }

    return mostCommonWords;
}

// Example usage:
const words = [""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""kiwi""];
const result = count_common(words);

",,,,-2,1,0.22345285018285116,rename:None,0.0,0.0,
3,"function find_Volume(l, b, h) {
//begin to write code
",54,"function find_Volume(l, b, h) {
    return ((l * b * h) / 2);
}

","function find_Volume(l, b, h) {
    // Calculate the volume of the triangular prism using the formula: V = l * b * h
    const volume = l * b * h;
    return volume;
}

// Example usage:
const length = 5;
const width = 3;
const height = 7;
const volume = find_Volume(length, width, height);

",,,,-2,1,0.1830933213233948,rename:None,0.0,0.0,
4,"function splitLowerstring(text) {
//begin to write code
",56,"function splitLowerstring(text) {
  return text.match(/[a-z][^a-z]*/g);
}

","function splitLowerstring(text) {
    return text.split(/[a-z]/);
}

// Example usage:
const result = splitLowerstring(""Hello World!"");

",,,,-2,1,0.14364133278528848,rename:None,0.0,0.0,
5,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
        //begin to write code
",178,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'Not matched!';
    }
}

","function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'No match found.';
    }
}

// Example usage:


",,,,-2,1,0.18136423428853352,rename:None,0.0,0.0,
6,"function square_perimeter(a) {
    let perimeter = 4 * a;
    //begin to write code
",84,"function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

","function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}
","function radius(area) {
    let radius = 4 * area;
    //begin to write code
","function radius(area) {
    let radius = 4 * area;
    return radius;
}

","function rectangleArea(length, width) {
    return length * width;
}
",1,5,0.46354377269744873,rename:codebert_rename_func_name,1.0,0.0,"{'function radius(area) {\n    let radius = 4 * area;\n    return radius;\n}\n\n': [('function square_perimeter(area) {\n    let radius = 4 * area;\n    //begin to write code\n', 'function squarePerimeter(sideLength) {\n    return 4 * sideLength;\n}\n', 'codebert_rename_identifier'), ('function radius(area) {\n    let radius = 4 * area;\n    //begin to write code\n', 'function rectangleArea(length, width) {\n    return length * width;\n}\n', 'codebert_rename_func_name')]}"
7,"const NO_OF_CHARS = 256;
function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}
function listToString(list) {
    return list.join('');
}
function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
    //begin to write code
",406,"const NO_OF_CHARS = 256;

function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}

function listToString(list) {
    return list.join('');
}

function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function removeDirtyChars(string, secondString) {
    let count = getCharCountArray(secondString);
    let ipInd = 0;
    let resInd = 0;
    let temp = '';
    let strList = strToList(string);
    while (ipInd != strList.length) {
        temp = strList[ipInd];
        if (count[temp.charCodeAt(0)] == 0) {
            strList[resInd] = strList[ipInd];
            resInd += 1;
        }
        ipInd += 1;
    }
    return listToString(strList.slice(0, resInd));
}

","// Function to remove characters from the first string which are present in the second string
function removeChars(str1, str2) {
    // Create a set of characters from the second string
    const charSet = new Set(str2);
    
    // Create an array to store the result
    const result = [];
    
    // Iterate over each character in the first string
    for (let char of str1) {
        // Check if the character is not in the set of characters from the second string
        if (!charSet.has(char)) {
            // Add the character to the result array
            result.push(char);
        }
    }
    
    // Join the result array into a string
    return result.join('');
}

// Example usage
const str1 = ""hello"";
const str2 = ""world"";
const result = removeChars(str1, str2);

","const NO_OF_CHARS = 256;
function split(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}
function join(list) {
    return list.join('');
}
function count(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
    //begin to write code
","const NO_OF_CHARS = 256;

function split(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}

function join(list) {
    return list.join('');
}

function count(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function add(string, secondString) {
    let count = count(secondString);
    let ipInd = 0;
    let resInd = 0;
    let temp = '';
    let strList = split(string);
    while (ipInd != strList.length) {
        temp = strList[ipInd];
        if (count[temp.charCodeAt(0)] == 0) {
            strList[resInd] = strList[ipInd];
            resInd += 1;
        }
        ipInd += 1;
    }
    return join(strList.slice(0, resInd));
}

","// Complete code (including all the content of the code I provided and the code you generated)
",1,3,0.3614449063936869,rename:codebert_rename_func_name,1.0,0.0,"{""const NO_OF_CHARS = 256;\n\nfunction split(string) {\n    let temp = [];\n    for (let x of string) {\n        temp.push(x);\n    }\n    return temp;\n}\n\nfunction join(list) {\n    return list.join('');\n}\n\nfunction count(string) {\n    let count = new Array(NO_OF_CHARS).fill(0);\n    for (let i of string) {\n        count[i.charCodeAt(0)] += 1;\n    }\n    return count;\n}\n\nfunction add(string, secondString) {\n    let count = count(secondString);\n    let ipInd = 0;\n    let resInd = 0;\n    let temp = '';\n    let strList = split(string);\n    while (ipInd != strList.length) {\n        temp = strList[ipInd];\n        if (count[temp.charCodeAt(0)] == 0) {\n            strList[resInd] = strList[ipInd];\n            resInd += 1;\n        }\n        ipInd += 1;\n    }\n    return join(strList.slice(0, resInd));\n}\n\n"": [(""const NO_OF_CHARS = 256;\nfunction split(string) {\n    let temp = [];\n    for (let x of string) {\n        temp.push(x);\n    }\n    return temp;\n}\nfunction join(list) {\n    return list.join('');\n}\nfunction count(string) {\n    let count = new Array(NO_OF_CHARS).fill(0);\n    for (let i of string) {\n        count[i.charCodeAt(0)] += 1;\n    }\n    return count;\n    //begin to write code\n"", '// Complete code (including all the content of the code I provided and the code you generated)\n', 'codebert_rename_func_name')]}"
8,"//function definition
function test_duplicate(arraynums) {
//begin to write code
",81,"//function definition
function test_duplicate(arraynums) {
    const nums_set = new Set(arraynums);
    return arraynums.length !== nums_set.size;
}

","/**
 * Checks if an array contains any duplicate elements.
 * 
 * @param {number[]} arraynums - An array of integers to check for duplicates.
 * @returns {boolean} - Returns true if there are duplicates, false otherwise.
 */
function test_duplicate(arraynums) {
    const seen = new Set();
    for (let num of arraynums) {
        if (seen.has(num)) {
            return true;
        }
        seen.add(num);
    }
    return false;
}

// Example usage:
const numbers = [1, 2, 3, 4, 5, 6];

",,,,-2,1,0.2149804671605428,rename:None,0.0,0.0,
9,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code
",181,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 === 0) { 
        x = x / 2;
        p += 1;
        if (p === x) { 
            return true;
        }
    }
    return false;
}

","function is_woodball(x) {
    if (x % 2 === 0) {
        return false;
    }
    if (x === 1) {
        return true;
    }
    x = x + 1;
    let p = 0;
    // Your code here to check if x is a woodball number
}
",,,,-2,1,0.15576700369517008,rename:None,0.0,0.0,
