Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    //begin to write code
",214,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

","function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

// Example usage:
const originalString = ""hello world"";
const charToRemove = ""o"";
const modifiedString = remove_Occ(originalString, charToRemove);

",,,,-2,1,0.19231865803400675,insert:None,0.0,0.0,
1,"function sortMatrix(M) {
//begin to write code
",47,"function sortMatrix(M) {
    return M.sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));
}

","function sortMatrix(M) {
    // Sort the matrix based on the sum of its rows
    M.sort((a, b) => {
        return a.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0) - b.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0);
    });

    return M;
}

// Example usage:
const matrix = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
];
const sortedMatrix = sortMatrix(matrix);

",,,,-2,1,0.20650315682093304,insert:None,0.0,0.0,
2,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
        //begin to write code
",176,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    const sortedWordCounts = Object.entries(wordCounts).sort((a, b) => b[1] - a[1]);

    return sortedWordCounts.slice(0, 4);
}

","function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    let maxCount = 0;
    let mostCommonWords = [];

    for (const [word, count] of Object.entries(wordCounts)) {
        if (count > maxCount) {
            maxCount = count;
            mostCommonWords = [word];
        } else if (count === maxCount) {
            mostCommonWords.push(word);
        }
    }

    return mostCommonWords;
}

// Example usage:
const words = [""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""kiwi""];
const result = count_common(words);

",,,,-2,1,0.2273813247680664,insert:None,0.0,0.0,
3,"function find_Volume(l, b, h) {
//begin to write code
",54,"function find_Volume(l, b, h) {
    return ((l * b * h) / 2);
}

","function find_Volume(l, b, h) {
    // Calculate the volume of the triangular prism using the formula: V = l * b * h
    const volume = l * b * h;
    return volume;
}

// Example usage:
const length = 5;
const width = 3;
const height = 7;
const volume = find_Volume(length, width, height);

",,,,-2,1,0.1833837588628133,insert:None,0.0,0.0,
4,"function splitLowerstring(text) {
//begin to write code
",56,"function splitLowerstring(text) {
  return text.match(/[a-z][^a-z]*/g);
}

","function splitLowerstring(text) {
    return text.split(/[a-z]/);
}

// Example usage:
const result = splitLowerstring(""Hello World!"");

",,,,-2,1,0.14742078383763632,insert:None,0.0,0.0,
5,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
        //begin to write code
",178,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'Not matched!';
    }
}

","function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'No match found.';
    }
}

// Example usage:


",,,,-2,1,0.181063707669576,insert:None,0.0,0.0,
6,"function square_perimeter(a) {
    let perimeter = 4 * a;
    //begin to write code
",84,"function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

","function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}
","function square_perimeter(a) {
let temp_var_3 = 9.9;temp_var_3 = temp_var_3 + 1;
//begin to write code
","function square_perimeter(a) {
let temp_var_3 = 9.9;temp_var_3 = temp_var_3 + 1;
    let perimeter = 4 * a;
    return perimeter;
}

","function square_perimeter(a) {
    let temp_var_3 = 9.9; // Initialize temp_var_3 with a value of 9.9
    temp_var_3 += 1; // Add 1 to temp_var_3
    return 4 * temp_var_3; // Return the perimeter of the square
}
",1,3,0.3091408411661784,insert:insert_dead_code,1.0,0.0,"{'function square_perimeter(a) {\nlet temp_var_3 = 9.9;temp_var_3 = temp_var_3 + 1;\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n': [('function square_perimeter(a) {\nlet temp_var_3 = 9.9;temp_var_3 = temp_var_3 + 1;\n//begin to write code\n', 'function square_perimeter(a) {\n    let temp_var_3 = 9.9; // Initialize temp_var_3 with a value of 9.9\n    temp_var_3 += 1; // Add 1 to temp_var_3\n    return 4 * temp_var_3; // Return the perimeter of the square\n}\n', 'insert_dead_code')]}"
7,"const NO_OF_CHARS = 256;
function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}
function listToString(list) {
    return list.join('');
}
function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
    //begin to write code
",406,"const NO_OF_CHARS = 256;

function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}

function listToString(list) {
    return list.join('');
}

function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function removeDirtyChars(string, secondString) {
    let count = getCharCountArray(secondString);
    let ipInd = 0;
    let resInd = 0;
    let temp = '';
    let strList = strToList(string);
    while (ipInd != strList.length) {
        temp = strList[ipInd];
        if (count[temp.charCodeAt(0)] == 0) {
            strList[resInd] = strList[ipInd];
            resInd += 1;
        }
        ipInd += 1;
    }
    return listToString(strList.slice(0, resInd));
}

","// Complete code (including all the content of the code I provided and the code you generated)
",,,,-2,1,0.1731614351272583,insert:None,0.0,0.0,
8,"//function definition
function test_duplicate(arraynums) {
//begin to write code
",81,"//function definition
function test_duplicate(arraynums) {
    const nums_set = new Set(arraynums);
    return arraynums.length !== nums_set.size;
}

","/**
 * Determines if an array contains any duplicate elements.
 *
 * @param {number[]} arrayNums - The array of integers to check for duplicates.
 * @return {boolean} - Returns true if there are duplicates, false otherwise.
 */
function test_duplicate(arrayNums) {
    const seenNumbers = new Set();

    for (const num of arrayNums) {
        if (seenNumbers.has(num)) {
            return true;
        }
        seenNumbers.add(num);
    }

    return false;
}

// Example usage:
const testArray = [1, 2, 3, 4, 5, 6, 7, 8, 9];

",,,,-2,1,0.21169994274775186,insert:None,0.0,0.0,
9,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code
",181,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 === 0) { 
        x = x / 2;
        p += 1;
        if (p === x) { 
            return true;
        }
    }
    return false;
}

","function is_woodball(x) {
    if (x % 2 === 0) {
        return false;
    }
    if (x === 1) {
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x > 0) {
        p++;
        x = x / 2;
    }
    return p % 2 === 0;
}
","function is_woodall(x) { 
    const var_0 = 2;
    const var_1 = 0;
    const var_2 = 1;
    const var_3 = 1;
    const var_4 = 0;
    const var_5 = 2;
    const var_6 = 0;
    if (x % var_0  === var_1 ) { 
        return false;
    }
    if (x === var_2 ) { 
        return true;
        //begin to write code
","function is_woodall(x) { 
    const var_0 = 2;
    const var_1 = 0;
    const var_2 = 1;
    const var_3 = 1;
    const var_4 = 0;
    const var_5 = 2;
    const var_6 = 0;
    if (x % var_0  === var_1 ) { 
        return false;
    }
    if (x === var_2 ) { 
        return true;
    }
    x = x + var_3 ;
    let p = var_4 ;
    while (x % var_5  === var_6 ) { 
        const var_7 = 2;
        const var_8 = 1;
        x = x / var_7 ;
        p += var_8 ;
        if (p === x) { 
            return true;
        }
    }
    return false;
}

","function is_woodball(x) {
    const var_0 = 2;
    const var_1 = 0;
    const var_2 = 1;
    const var_3 = 1;
    const var_4 = 0;
    const var_5 = 2;
    const var_6 = 0;
    if (x % var_0 === var_1) {
        return false;
    }
    if (x === var_2) {
        return true;
    }
    return false; // Added this line to complete the function
}
",1,3,0.40641778310139975,insert:fold_constant,1.0,0.0,"{'function is_woodall(x) { \n    const var_0 = 2;\n    const var_1 = 0;\n    const var_2 = 1;\n    const var_3 = 1;\n    const var_4 = 0;\n    const var_5 = 2;\n    const var_6 = 0;\n    if (x % var_0  === var_1 ) { \n        return false;\n    }\n    if (x === var_2 ) { \n        return true;\n    }\n    x = x + var_3 ;\n    let p = var_4 ;\n    while (x % var_5  === var_6 ) { \n        const var_7 = 2;\n        const var_8 = 1;\n        x = x / var_7 ;\n        p += var_8 ;\n        if (p === x) { \n            return true;\n        }\n    }\n    return false;\n}\n\n': [('function is_woodall(x) { \n    const var_0 = 2;\n    const var_1 = 0;\n    const var_2 = 1;\n    const var_3 = 1;\n    const var_4 = 0;\n    const var_5 = 2;\n    const var_6 = 0;\n    if (x % var_0  === var_1 ) { \n        return false;\n    }\n    if (x === var_2 ) { \n        return true;\n        //begin to write code\n', 'function is_woodball(x) {\n    const var_0 = 2;\n    const var_1 = 0;\n    const var_2 = 1;\n    const var_3 = 1;\n    const var_4 = 0;\n    const var_5 = 2;\n    const var_6 = 0;\n    if (x % var_0 === var_1) {\n        return false;\n    }\n    if (x === var_2) {\n        return true;\n    }\n    return false; // Added this line to complete the function\n}\n', 'fold_constant')]}"
