Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        //begin to write code
",296,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex != -1) {
            s = s.substring(0, lastIndex) + s.substring(lastIndex + 1);
        }
        return s;
    }
}
","class Solution {
    public String remove_Occ(String s, char ch) {
        if (s == null || s.isEmpty()) {
            return s;
        }

        int firstIndex = s.indexOf(ch);
        if (firstIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        // Remove the first occurrence
        s = s.substring(0, firstIndex) + s.substring(lastIndex + 1);

        // Remove the last occurrence
        s = s.substring(0, lastIndex) + s.substring(firstIndex + 1);

        return s;
    }
}
",,,,-2,1,0.2626346190770467,rename:None,0.0,0.0,
1,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
",276,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] arr) {
        int sum = 0;
        for (int num : arr) {
            sum += num;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sligMagrrc(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
","class Solution {
    public int[][] sligMagrrc(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
        }
        return sum;
    }
}
","        <|im_end|>


",1,3,0.4818396051724752,rename:random_filp_function_name,1.0,0.0,"{'class Solution {\n    public int[][] sligMagrrc(int[][] M) {\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n\n    private int sum(int[] a) {\n        int sum = 0;\n        for (int i : a) {\n            sum += i;\n        }\n        return sum;\n    }\n}\n': [('class Solution {\n    public int[][] sligMagrrc(int[][] M) {\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n    //begin to write code\n', '        <|im_end|>\n\n\n', 'random_filp_function_name')]}"
2,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        //begin to write code
",305,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        List<Map.Entry<String, Integer>> list = new ArrayList<>(wordCounts.entrySet());
        list.sort((o1, o2) -> o2.getValue().compareTo(o1.getValue()));
        return list.subList(0, Math.min(4, list.size()));
    }
}
","        <|im_end|>


",,,,-2,1,0.2651849468549093,rename:None,0.0,0.0,
3,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
        //begin to write code
",150,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
    }
}
","class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
    }

    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter the length of the base: "");
        double l = scanner.nextDouble();
        System.out.print(""Enter the height of the base: "");
        double b = scanner.nextDouble();
        System.out.print(""Enter the height of the prism: "");
        double h = scanner.nextDouble();

        double volume = find_Volume(l, b, h);
        System.out.println(""The volume of the triangular prism is: "" + volume);
        scanner.close();
    }
}
","class Solution {
    public static double func_0(double l, double b, double h) {
        return ((l * b * h) / 2);
        //begin to write code
","class Solution {
    public static double func_0(double l, double b, double h) {
        return ((l * b * h) / 2);
    }
}
","class Solution {
    public static double func_0(double l, double b, double h) {
        return (l * b * h) / 2;
    }
}
",1,3,0.5210044701894124,rename:normalize_function_names,1.0,0.0,"{'class Solution {\n    public static double func_0(double l, double b, double h) {\n        return ((l * b * h) / 2);\n    }\n}\n': [('class Solution {\n    public static double func_0(double l, double b, double h) {\n        return ((l * b * h) / 2);\n        //begin to write code\n', 'class Solution {\n    public static double func_0(double l, double b, double h) {\n        return (l * b * h) / 2;\n    }\n}\n', 'normalize_function_names')]}"
4,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
        //begin to write code
",310,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> parse(String var_3) {
        ArrayList<String> var_2 = new ArrayList<>();
        Pattern var_1 = Pattern.compile(""[a-z][^a-z]*"");
        Matcher var_0 = var_1.matcher(var_3);
        while (var_0.find()) {
        //begin to write code
","class Solution {
    public static ArrayList<String> parse(String var_3) {
        ArrayList<String> var_2 = new ArrayList<>();
        Pattern var_1 = Pattern.compile(""[a-z][^a-z]*"");
        Matcher var_0 = var_1.matcher(var_3);
        while (var_0.find()) {
            var_2.add(var_0.group());
        }
        return var_2;
    }
}
","        <|im_end|>
**Created Question**:
Write a Java method to calculate the sum of all prime numbers up to a given number.

**Created Answer**:
",1,5,0.8495251576105753,rename:codebert_rename_func_name,1.0,0.0,"{'class Solution {\n    public static ArrayList<String> parse(String var_3) {\n        ArrayList<String> var_2 = new ArrayList<>();\n        Pattern var_1 = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher var_0 = var_1.matcher(var_3);\n        while (var_0.find()) {\n            var_2.add(var_0.group());\n        }\n        return var_2;\n    }\n}\n': [('class Solution {\n    public static ArrayList<String> splitLowerString(String var_3) {\n        ArrayList<String> var_2 = new ArrayList<>();\n        Pattern var_1 = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher var_0 = var_1.matcher(var_3);\n        while (var_0.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String var_3) {\n        ArrayList<String> var_2 = new ArrayList<>();\n        Pattern var_1 = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher var_0 = var_1.matcher(var_3);\n        while (var_0.find()) {\n            var_2.add(var_0.group());\n        }\n        return var_2;\n    }\n\n    public static void main(String[] args) {\n        String input = ""Hello, World!"";\n        ArrayList<String> result = splitLowerString(input);\n        System.out.println(result); // Output: [h, e, l, l, o, w, r, l, d,!]\n    }\n}\n', 'normalize_identifer'), ('class Solution {\n    public static ArrayList<String> parse(String var_3) {\n        ArrayList<String> var_2 = new ArrayList<>();\n        Pattern var_1 = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher var_0 = var_1.matcher(var_3);\n        while (var_0.find()) {\n        //begin to write code\n', '        <|im_end|>\n**Created Question**:\nWrite a Java method to calculate the sum of all prime numbers up to a given number.\n\n**Created Answer**:\n', 'codebert_rename_func_name')]}"
5,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
        //begin to write code
",283,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
            return ""Found a match!"";
        } else {
            return ""Not matched!"";
        }
    }
}
","class Solution {
    public String text_lowercase_underscore(String text) {
        // Use regex to find sequences of lowercase letters joined with an underscore
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
            return matcher.group();
        }
        return """";
    }
}
",,,,-2,1,0.18937864700953166,rename:None,0.0,0.0,
6,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        //begin to write code
",125,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(int z) {
        int perimeter = 4 * z;
        //begin to write code
","class Solution {
    public static int squarePerimeter(int z) {
        int perimeter = 4 * z;
        return perimeter;
    }
}
","class Solution {
    public static int rectanglePerimeter(int length, int width) {
        int perimeter = 2 * (length + width);
        return perimeter;
    }
}
",1,3,0.36915164391199745,rename:random_flip_identifier,1.0,0.0,"{'class Solution {\n    public static int squarePerimeter(int z) {\n        int perimeter = 4 * z;\n        return perimeter;\n    }\n}\n': [('class Solution {\n    public static int squarePerimeter(int z) {\n        int perimeter = 4 * z;\n        //begin to write code\n', 'class Solution {\n    public static int rectanglePerimeter(int length, int width) {\n        int perimeter = 2 * (length + width);\n        return perimeter;\n    }\n}\n', 'random_flip_identifier')]}"
7,"class Solution {
    static final int NO_OF_CHARS = 256;
    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }
    static String lst_to_string(char[] list) {
        return new String(list);
    }
    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        //begin to write code
",635,"class Solution {
    static final int NO_OF_CHARS = 256;

    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }

    static String lst_to_string(char[] list) {
        return new String(list);
    }

    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        return count;
    }

    public static String remove_dirty_chars(String string, String second_string) {
        int count[] = get_char_count_array(second_string);
        int ip_ind = 0, res_ind = 0;
        char temp;
        char[] str_list = str_to_list(string);

        while (ip_ind != str_list.length) {
            temp = str_list[ip_ind];
            if (count[(int) temp] == 0) {
                str_list[res_ind] = str_list[ip_ind];
                res_ind++;
            }
            ip_ind++;
        }

        return lst_to_string(Arrays.copyOfRange(str_list, 0, res_ind));
    }
}
","        <|im_end|>


",,,,-2,1,0.2578528682390849,rename:None,0.0,0.0,
8,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            //begin to write code
",217,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
        }
        return arraynums.length != numsSet.size();
    }
}
","class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            if (numsSet.contains(num)) {
                return true;
            }
            numsSet.add(num);
        }
        return false;
    }
}
","class Solution {
    public boolean func_0(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            //begin to write code
","class Solution {
    public boolean func_0(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
        }
        return arraynums.length != numsSet.size();
    }
}
","class Solution {
    public boolean func_0(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
        }
        return numsSet.size()!= arraynums.length;
    }
}
",1,3,0.43781261444091796,rename:normalize_function_names,1.0,0.0,"{'class Solution {\n    public boolean func_0(int[] arraynums) {\n        Set<Integer> numsSet = new HashSet<>();\n        for (int num : arraynums) {\n            numsSet.add(num);\n        }\n        return arraynums.length != numsSet.size();\n    }\n}\n': [('class Solution {\n    public boolean func_0(int[] arraynums) {\n        Set<Integer> numsSet = new HashSet<>();\n        for (int num : arraynums) {\n            numsSet.add(num);\n            //begin to write code\n', 'class Solution {\n    public boolean func_0(int[] arraynums) {\n        Set<Integer> numsSet = new HashSet<>();\n        for (int num : arraynums) {\n            numsSet.add(num);\n        }\n        return numsSet.size()!= arraynums.length;\n    }\n}\n', 'normalize_function_names')]}"
9,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        //begin to write code
",249,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        while (x % 2 == 0) {
            x = x / 2;
            p = p + 1;
            if (p == x) {
                return true;
            }
        }
        return false;
    }
}
","class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        while (x > 0) {
            p += x % 2;
            x /= 2;
        }
        return p % 2 == 0;
    }
}
","class Solution {
    public static boolean func_0(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        //begin to write code
","class Solution {
    public static boolean func_0(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        while (x % 2 == 0) {
            x = x / 2;
            p = p + 1;
            if (p == x) {
                return true;
            }
        }
        return false;
    }
}
","class Solution {
    public static boolean func_0(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        //begin to write code
        while (x > 0) {
            p++;
            x -= 2;
        }
        //end to write code

        return p % 2 == 0;
    }
}
",1,3,0.49230534633000694,rename:normalize_function_names,1.0,0.0,"{'class Solution {\n    public static boolean func_0(int x) {\n        if (x % 2 == 0) {\n            return false;\n        }\n        if (x == 1) {\n            return true;\n        }\n        x = x + 1;\n        int p = 0;\n        while (x % 2 == 0) {\n            x = x / 2;\n            p = p + 1;\n            if (p == x) {\n                return true;\n            }\n        }\n        return false;\n    }\n}\n': [('class Solution {\n    public static boolean func_0(int x) {\n        if (x % 2 == 0) {\n            return false;\n        }\n        if (x == 1) {\n            return true;\n        }\n        x = x + 1;\n        int p = 0;\n        //begin to write code\n', 'class Solution {\n    public static boolean func_0(int x) {\n        if (x % 2 == 0) {\n            return false;\n        }\n        if (x == 1) {\n            return true;\n        }\n        x = x + 1;\n        int p = 0;\n        //begin to write code\n        while (x > 0) {\n            p++;\n            x -= 2;\n        }\n        //end to write code\n\n        return p % 2 == 0;\n    }\n}\n', 'normalize_function_names')]}"
