Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    //begin to write code
",214,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

","function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

// Example usage:
const originalString = ""hello world"";
const charToRemove = ""o"";
const modifiedString = remove_Occ(originalString, charToRemove);

",,,,-2,1,0.20047595898310344,code_expression_exchange:None,0.0,0.0,
1,"function sortMatrix(M) {
//begin to write code
",47,"function sortMatrix(M) {
    return M.sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));
}

","function sortMatrix(M) {
    // Sort the matrix based on the sum of its rows
    M.sort((a, b) => {
        return a.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0) - b.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0);
    });

    return M;
}

// Example usage:
const matrix = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
];
const sortedMatrix = sortMatrix(matrix);

",,,,-2,1,0.2064766565958659,code_expression_exchange:None,0.0,0.0,
2,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
        //begin to write code
",176,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    const sortedWordCounts = Object.entries(wordCounts).sort((a, b) => b[1] - a[1]);

    return sortedWordCounts.slice(0, 4);
}

","function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    let maxCount = 0;
    let mostCommonWords = [];

    for (const [word, count] of Object.entries(wordCounts)) {
        if (count > maxCount) {
            maxCount = count;
            mostCommonWords = [word];
        } else if (count === maxCount) {
            mostCommonWords.push(word);
        }
    }

    return mostCommonWords;
}

// Example usage:
const words = [""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""kiwi""];
const result = count_common(words);

",,,,-2,1,0.22172922293345135,code_expression_exchange:None,0.0,0.0,
3,"function find_Volume(l, b, h) {
//begin to write code
",54,"function find_Volume(l, b, h) {
    return ((l * b * h) / 2);
}

","function find_Volume(l, b, h) {
    // Calculate the volume of the triangular prism using the formula: V = l * b * h
    const volume = l * b * h;
    return volume;
}

// Example usage:
const length = 5;
const width = 3;
const height = 7;
const volume = find_Volume(length, width, height);

",,,,-2,1,0.1818457802136739,code_expression_exchange:None,0.0,0.0,
4,"function splitLowerstring(text) {
//begin to write code
",56,"function splitLowerstring(text) {
  return text.match(/[a-z][^a-z]*/g);
}

","function splitLowerstring(text) {
    return text.split(/[a-z]/);
}

// Example usage:
const result = splitLowerstring(""Hello World!"");

",,,,-2,1,0.1565883994102478,code_expression_exchange:None,0.0,0.0,
5,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
        //begin to write code
",178,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'Not matched!';
    }
}

","function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'No match found.';
    }
}

// Example usage:


",,,,-2,1,0.18654098510742187,code_expression_exchange:None,0.0,0.0,
6,"function square_perimeter(a) {
    let perimeter = 4 * a;
    //begin to write code
",84,"function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

","function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}
","function square_perimeter(a) {
    let perimeter = a * 4;
    //begin to write code
","function square_perimeter(a) {
    let perimeter = a * 4;
    return perimeter;
}

","function square_perimeter(a) {
    let perimeter = a * 4;
    return perimeter;
}
",-1,21,1.8925104975700378,code_expression_exchange:bool2int,1.0,0.794205217304438,"{'function square_perimeter(a) {\n    let perimeter = a * 4;\n    return perimeter;\n}\n\n': [('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage:\n\n', 'bool2int'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage:\n\n', 'bool2int'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', '// Define the function to calculate the perimeter of a square\nfunction square_perimeter(a) {\n    // Calculate the perimeter using the formula 4a\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage:\n\n', 'more_universe_var_type'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', '// Function to calculate the perimeter of a square\nfunction square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage of the function\nconst sideLength = 5;\nconst perimeter = square_perimeter(sideLength);\n\n', 'equal_expression_transformation'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage:\nlet sideLength = 5;\n\n', 'bool2int'), ('function square_perimeter(a) {\n    let perimeter = a * 4;\n    //begin to write code\n', 'function square_perimeter(a) {\n    return a * 4;\n}\n', 'exchange_operators'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage:\n\n\n', 'exchange_operators'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n', 'equal_expression_transformation'), ('function square_perimeter(a) {\n    let perimeter = a * 4;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = a * 4;\n    return perimeter;\n}\n\n// Example usage\nlet sideLength = 5;\nlet perimeter = square_perimeter(sideLength);\n\n', 'exchange_operators'), ('function square_perimeter(a) {\n    let perimeter = a * 4;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = a * 4;\n    return perimeter;\n}\n', 'bool2int')]}"
7,"const NO_OF_CHARS = 256;
function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}
function listToString(list) {
    return list.join('');
}
function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
    //begin to write code
",406,"const NO_OF_CHARS = 256;

function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}

function listToString(list) {
    return list.join('');
}

function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function removeDirtyChars(string, secondString) {
    let count = getCharCountArray(secondString);
    let ipInd = 0;
    let resInd = 0;
    let temp = '';
    let strList = strToList(string);
    while (ipInd != strList.length) {
        temp = strList[ipInd];
        if (count[temp.charCodeAt(0)] == 0) {
            strList[resInd] = strList[ipInd];
            resInd += 1;
        }
        ipInd += 1;
    }
    return listToString(strList.slice(0, resInd));
}

","// Complete code (including all the content of the code I provided and the code you generated)
",,,,-2,1,0.13234701951344807,code_expression_exchange:None,0.0,0.0,
8,"//function definition
function test_duplicate(arraynums) {
//begin to write code
",81,"//function definition
function test_duplicate(arraynums) {
    const nums_set = new Set(arraynums);
    return arraynums.length !== nums_set.size;
}

","        <|im_end|>



",,,,-2,1,0.2249637484550476,code_expression_exchange:None,0.0,0.0,
9,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code
",181,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 === 0) { 
        x = x / 2;
        p += 1;
        if (p === x) { 
            return true;
        }
    }
    return false;
}

","function is_woodball(x) {
    if (x % 2 === 0) {
        return false;
    }
    if (x === 1) {
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x > 0) {
        if (x % 2 === 0) {
            p++;
        }
        x = Math.floor(x / 2);
    }
    return p % 2 === 0;
}

// Test cases










",,,,-2,1,0.2258203148841858,code_expression_exchange:None,0.0,0.0,
