Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        //begin to write code
",296,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex != -1) {
            s = s.substring(0, lastIndex) + s.substring(lastIndex + 1);
        }
        return s;
    }
}
","class Solution {
    public String remove_Occ(String s, char ch) {
        if (s == null || s.isEmpty()) {
            return s;
        }

        int firstIndex = s.indexOf(ch);
        if (firstIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        // Remove the first occurrence
        s = s.substring(0, firstIndex) + s.substring(lastIndex + 1);

        // Remove the last occurrence
        s = s.substring(0, lastIndex) + s.substring(firstIndex + 1);

        return s;
    }
}
",,,,-2,1,0.25622060696283977,insert:None,0.0,0.0,
1,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
",276,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] arr) {
        int sum = 0;
        for (int num : arr) {
            sum += num;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sortMatrix(int[][] M) {
    new Runnable() {@Override public void run() {System.out.println(""This function is used to remove a item of a list"");}};
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
","class Solution {
    public int[][] sortMatrix(int[][] M) {
    new Runnable() {@Override public void run() {System.out.println(""This function is used to remove a item of a list"");}};
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
            double temp_var_6 = 9.9;System.out.println(""This function is used to remove a item of a list"");
        }
        return sum;
    }
}
","        <|im_end|>
**Created Question**:
Write a Java function to sort a given matrix in ascending order according to the sum of its rows.

**Created Answer**:
",1,5,0.8060344735781352,insert:insert_dead_code,1.0,0.0,"{'class Solution {\n    public int[][] sortMatrix(int[][] M) {\n    new Runnable() {@Override public void run() {System.out.println(""This function is used to remove a item of a list"");}};\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n\n    private int sum(int[] a) {\n        int sum = 0;\n        for (int i : a) {\n            sum += i;\n            double temp_var_6 = 9.9;System.out.println(""This function is used to remove a item of a list"");\n        }\n        return sum;\n    }\n}\n': [('class Solution {\n    public int[][] sortMatrix(int[][] M) {\n    new Runnable() {@Override public void run() {System.out.println(""This function is used to remove a item of a list"");}};\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n        //begin to write code\n', 'class Solution {\n    public int[][] sortMatrix(int[][] M) {\n        new Runnable() {\n            @Override\n            public void run() {\n                System.out.println(""This function is used to remove a item of a list"");\n            }\n        };\n        \n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        \n        return M;\n    }\n    \n    private int sum(int[] arr) {\n        int sum = 0;\n        for (int num : arr) {\n            sum += num;\n        }\n        return sum;\n    }\n}\n', 'insert_dead_code'), ('class Solution {\n    public int[][] sortMatrix(int[][] M) {\n    new Runnable() {@Override public void run() {System.out.println(""This function is used to remove a item of a list"");}};\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n    //begin to write code\n', '        <|im_end|>\n**Created Question**:\nWrite a Java function to sort a given matrix in ascending order according to the sum of its rows.\n\n**Created Answer**:\n', 'insert_dead_code')]}"
2,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        //begin to write code
",305,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        List<Map.Entry<String, Integer>> list = new ArrayList<>(wordCounts.entrySet());
        list.sort((o1, o2) -> o2.getValue().compareTo(o1.getValue()));
        return list.subList(0, Math.min(4, list.size()));
    }
}
","class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }

        // Create a list to store the most common words
        List<Map.Entry<String, Integer>> mostCommonWords = new ArrayList<>();

        // Sort the entries by frequency in descending order
        List<Map.Entry<String, Integer>> sortedEntries = new ArrayList<>(wordCounts.entrySet());
        Collections.sort(sortedEntries, Comparator.comparingInt(Map.Entry::getValue).reversed());

        // Add the top 'k' most common words to the list
        int k = 5; // Example: get the top 5 most common words
        for (int i = 0; i < k; i++) {
            mostCommonWords.add(sortedEntries.get(i));
        }

        return mostCommonWords;
    }
}
",,,,-2,1,0.2776516358057658,insert:None,0.0,0.0,
3,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
        //begin to write code
",150,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
    }
}
","class Solution {
    /**
     * Calculates the volume of a triangular prism.
     *
     * @param length the length of the base of the prism
     * @param width  the width of the base of the prism
     * @param height the height of the prism
     * @return the volume of the prism
     */
    public static double find_Volume(double length, double width, double height) {
        return ((length * width * height) / 2);
    }

    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter the length of the base of the prism: "");
        double length = scanner.nextDouble();
        System.out.print(""Enter the width of the base of the prism: "");
        double width = scanner.nextDouble();
        System.out.print(""Enter the height of the prism: "");
        double height = scanner.nextDouble();

        double volume = find_Volume(length, width, height);
        System.out.println(""The volume of the prism is: "" + volume);

        scanner.close();
    }
}
","class Solution {
    public static double find_Volume(double l, double b, double h) {
        final int var_0 = 2;
        //begin to write code
","class Solution {
    public static double find_Volume(double l, double b, double h) {
        final int var_0 = 2;
        return ((l * b * h) / var_0 );
    }
}
","class Solution {
    public static double find_Volume(double l, double b, double h) {
        // Calculate the volume using the formula: V = l * b * h
        return l * b * h;
    }
}
",1,3,0.5909683187802632,insert:fold_constant,1.0,0.0,"{'class Solution {\n    public static double find_Volume(double l, double b, double h) {\n        final int var_0 = 2;\n        return ((l * b * h) / var_0 );\n    }\n}\n': [('class Solution {\n    public static double find_Volume(double l, double b, double h) {\n        final int var_0 = 2;\n        //begin to write code\n', 'class Solution {\n    public static double find_Volume(double l, double b, double h) {\n        // Calculate the volume using the formula: V = l * b * h\n        return l * b * h;\n    }\n}\n', 'fold_constant')]}"
4,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
        //begin to write code
",310,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        final String var_0 = ""[a-z][^a-z]*"";
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(var_0 );
        Matcher matcher = pattern.matcher(text);
        //begin to write code
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        final String var_0 = ""[a-z][^a-z]*"";
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(var_0 );
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        // Use regex to find all occurrences of lowercase letters followed by any number of non-lowercase characters
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z]+[^\w]"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }

    public static void main(String[] args) {
        String input = ""Hello World! This is a Test."";
        ArrayList<String> splitLowerStrings = splitLowerString(input);
        System.out.println(splitLowerStrings); // Output: [Hello, World!, This, is, a, Test.]
    }
}
",1,3,0.45174343983332316,insert:fold_constant,1.0,0.0,"{'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        final String var_0 = ""[a-z][^a-z]*"";\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(var_0 );\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n': [('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        final String var_0 = ""[a-z][^a-z]*"";\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(var_0 );\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        // Use regex to find all occurrences of lowercase letters followed by any number of non-lowercase characters\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z]+[^\\w]"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String input = ""Hello World! This is a Test."";\n        ArrayList<String> splitLowerStrings = splitLowerString(input);\n        System.out.println(splitLowerStrings); // Output: [Hello, World!, This, is, a, Test.]\n    }\n}\n', 'fold_constant')]}"
5,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
        //begin to write code
",283,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
            return ""Found a match!"";
        } else {
            return ""Not matched!"";
        }
    }
}
","class Solution {
    public String text_lowercase_underscore(String text) {
        // Ensure the input string starts with a lowercase letter
        if (!text.matches(""^[a-z]+"")) {
            return ""Invalid input. Please start with a lowercase letter."";
        }

        // Use regex to match sequences of lowercase letters followed by an underscore
        String pattern = ""^[a-z]+_[a-z]+$"";
        Pattern compiledPattern = Pattern.compile(pattern);
        Matcher matcher = compiledPattern.matcher(text);

        // If a match is found, return the matched sequence
        if (matcher.find()) {
            return matcher.group();
        } else {
            return ""No sequences found in the input string."";
        }
    }
}
",,,,-2,1,0.20056972901026407,insert:None,0.0,0.0,
6,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        //begin to write code
",125,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        //begin to write code
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {

    /**
     * Calculates the perimeter of a square given its side length.
     *
     * @param sideLength The length of the side of the square.
     * @return The perimeter of the square.
     */
    public static int calculatePerimeter(int sideLength) {
        return 4 * sideLength;
    }

    public static void main(String[] args) {
        // Test the method with different side lengths
        System.out.println(""Perimeter of a 1x1 square: "" + calculatePerimeter(1)); // Expected output: 4
        System.out.println(""Perimeter of a 2x2 square: "" + calculatePerimeter(2)); // Expected output: 8
        System.out.println(""Perimeter of a 3x3 square: "" + calculatePerimeter(3)); // Expected output: 12
    }
}
",1,3,0.41995923121770223,insert:remove_comments,1.0,0.0,"{'class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = 4 * a;\n        return perimeter;\n    }\n}\n': [('class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = 4 * a;\n        //begin to write code\n', 'class Solution {\n\n    /**\n     * Calculates the perimeter of a square given its side length.\n     *\n     * @param sideLength The length of the side of the square.\n     * @return The perimeter of the square.\n     */\n    public static int calculatePerimeter(int sideLength) {\n        return 4 * sideLength;\n    }\n\n    public static void main(String[] args) {\n        // Test the method with different side lengths\n        System.out.println(""Perimeter of a 1x1 square: "" + calculatePerimeter(1)); // Expected output: 4\n        System.out.println(""Perimeter of a 2x2 square: "" + calculatePerimeter(2)); // Expected output: 8\n        System.out.println(""Perimeter of a 3x3 square: "" + calculatePerimeter(3)); // Expected output: 12\n    }\n}\n', 'remove_comments')]}"
7,"class Solution {
    static final int NO_OF_CHARS = 256;
    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }
    static String lst_to_string(char[] list) {
        return new String(list);
    }
    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        //begin to write code
",635,"class Solution {
    static final int NO_OF_CHARS = 256;

    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }

    static String lst_to_string(char[] list) {
        return new String(list);
    }

    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        return count;
    }

    public static String remove_dirty_chars(String string, String second_string) {
        int count[] = get_char_count_array(second_string);
        int ip_ind = 0, res_ind = 0;
        char temp;
        char[] str_list = str_to_list(string);

        while (ip_ind != str_list.length) {
            temp = str_list[ip_ind];
            if (count[(int) temp] == 0) {
                str_list[res_ind] = str_list[ip_ind];
                res_ind++;
            }
            ip_ind++;
        }

        return lst_to_string(Arrays.copyOfRange(str_list, 0, res_ind));
    }
}
","        <|im_end|>


",,,,-2,1,0.23358412981033325,insert:None,0.0,0.0,
8,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            //begin to write code
",217,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
        }
        return arraynums.length != numsSet.size();
    }
}
","class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            if (numsSet.size() > arraynums.length) {
                return true;
            }
        }
        return false;
    }
}
",,,,-2,1,0.17514800230662028,insert:None,0.0,0.0,
9,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        //begin to write code
",249,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        while (x % 2 == 0) {
            x = x / 2;
            p = p + 1;
            if (p == x) {
                return true;
            }
        }
        return false;
    }
}
","class Solution {

    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        //begin to write code

        return false; // or true based on your requirements
    }

    public static void main(String[] args) {
        System.out.println(isWoodall(5)); // Example usage
        System.out.println(isWoodall(6)); // Example usage
    }
}
",,,,-2,1,0.19238137404123942,insert:None,0.0,0.0,
10,"class Solution {
    public List<Integer> multiples_of_num(int m, int n) {
        List<Integer> multiples_of_num = new ArrayList<>();
        for (int i = n; i <= m * n; i += n) {
            multiples_of_num.add(i);
            //begin to write code
",252,"class Solution {
    public List<Integer> multiples_of_num(int m, int n) {
        List<Integer> multiples_of_num = new ArrayList<>();
        for (int i = n; i <= m * n; i += n) {
            multiples_of_num.add(i);
        }
        return multiples_of_num;
    }
}
","class Solution {
    public List<Integer> multiples_of_num(int m, int n) {
        List<Integer> multiples_of_num = new ArrayList<>();
        for (int i = n; i <= m * n; i += n) {
            multiples_of_num.add(i);
        }
        return multiples_of_num;
    }
}
","class Solution {
    public List<Integer> multiples_of_num(int m, int n) {
        List<Integer> multiples_of_num = new ArrayList<>();
        for (int i = n; i <= m * n; i += n) {
            multiples_of_num.add(i);
            //begin to write code
","class Solution {
    public List<Integer> multiples_of_num(int m, int n) {
        List<Integer> multiples_of_num = new ArrayList<>();
        for (int i = n; i <= m * n; i += n) {
            multiples_of_num.add(i);
        }
        return multiples_of_num;
    }
}
","class Solution {
    /**
     * Finds the number of multiples of a given number within a specified range.
     *
     * @param m The number to find multiples of.
     * @param n The upper limit of the range.
     * @return The count of multiples of m within the range.
     */
    public static long countMultiples(long m, long n) {
        long count = 0;
        for (long i = n; i <= m * n; i += n) {
            count++;
        }
        return count;
    }

    public static void main(String[] args) {
        // Test cases
        System.out.println(countMultiples(5, 10)); // Output: 5
        System.out.println(countMultiples(3, 15)); // Output: 7
        System.out.println(countMultiples(2, 18)); // Output: 9
    }
}
",1,3,0.44122329155604045,insert:remove_comments,1.0,0.0,"{'class Solution {\n    public List<Integer> multiples_of_num(int m, int n) {\n        List<Integer> multiples_of_num = new ArrayList<>();\n        for (int i = n; i <= m * n; i += n) {\n            multiples_of_num.add(i);\n        }\n        return multiples_of_num;\n    }\n}\n': [('class Solution {\n    public List<Integer> multiples_of_num(int m, int n) {\n        List<Integer> multiples_of_num = new ArrayList<>();\n        for (int i = n; i <= m * n; i += n) {\n            multiples_of_num.add(i);\n            //begin to write code\n', 'class Solution {\n    /**\n     * Finds the number of multiples of a given number within a specified range.\n     *\n     * @param m The number to find multiples of.\n     * @param n The upper limit of the range.\n     * @return The count of multiples of m within the range.\n     */\n    public static long countMultiples(long m, long n) {\n        long count = 0;\n        for (long i = n; i <= m * n; i += n) {\n            count++;\n        }\n        return count;\n    }\n\n    public static void main(String[] args) {\n        // Test cases\n        System.out.println(countMultiples(5, 10)); // Output: 5\n        System.out.println(countMultiples(3, 15)); // Output: 7\n        System.out.println(countMultiples(2, 18)); // Output: 9\n    }\n}\n', 'remove_comments')]}"
