Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    //begin to write code
",214,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

","function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

// Example usage:
const originalString = ""hello world"";
const charToRemove = ""o"";
const modifiedString = remove_Occ(originalString, charToRemove);

",,,,-2,1,0.18879278103510538,code_style:None,0.0,0.0,
1,"function sortMatrix(M) {
//begin to write code
",47,"function sortMatrix(M) {
    return M.sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));
}

","function sortMatrix(M) {
    // Sort the matrix based on the sum of its rows
    M.sort((a, b) => {
        return a.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0) - b.reduce((sum, row) => sum + row.reduce((sum, val) => sum + val, 0), 0);
    });

    return M;
}

// Example usage:
const matrix = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
];
const sortedMatrix = sortMatrix(matrix);

",,,,-2,1,0.2046598235766093,code_style:None,0.0,0.0,
2,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
        //begin to write code
",176,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    const sortedWordCounts = Object.entries(wordCounts).sort((a, b) => b[1] - a[1]);

    return sortedWordCounts.slice(0, 4);
}

","function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    let maxCount = 0;
    let mostCommonWords = [];

    for (const [word, count] of Object.entries(wordCounts)) {
        if (count > maxCount) {
            maxCount = count;
            mostCommonWords = [word];
        } else if (count === maxCount) {
            mostCommonWords.push(word);
        }
    }

    return mostCommonWords;
}

// Example usage:
const words = [""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""kiwi""];
const result = count_common(words);

",,,,-2,1,0.22526699701944988,code_style:None,0.0,0.0,
3,"function find_Volume(l, b, h) {
//begin to write code
",54,"function find_Volume(l, b, h) {
    return ((l * b * h) / 2);
}

","function find_Volume(l, b, h) {
    // Calculate the volume of the triangular prism using the formula: V = l * b * h
    const volume = l * b * h;
    return volume;
}

// Example usage:
const length = 5;
const width = 3;
const height = 7;
const volume = find_Volume(length, width, height);

",,,,-2,1,0.18114240566889445,code_style:None,0.0,0.0,
4,"function splitLowerstring(text) {
//begin to write code
",56,"function splitLowerstring(text) {
  return text.match(/[a-z][^a-z]*/g);
}

","function splitLowerstring(text) {
    return text.split(/[a-z]/);
}

// Example usage:
const result = splitLowerstring(""Hello World!"");

",,,,-2,1,0.1462172031402588,code_style:None,0.0,0.0,
5,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
        //begin to write code
",178,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'Not matched!';
    }
}

","function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'No match found.';
    }
}

// Example usage:


",,,,-2,1,0.1806368629137675,code_style:None,0.0,0.0,
6,"function square_perimeter(a) {
    let perimeter = 4 * a;
    //begin to write code
",84,"function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

","function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}
","function
 square_perimeter(a) {
 //begin to write code
","function
 square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

","
        <|im_end|>
**Created Question**:
How can I modify the `square_perimeter` function to calculate the perimeter of a square given its side length?",1,5,0.4788491408030192,code_style:line_split,1.0,0.0,"{'function\n square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n': [('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage:\n\n', 'tab_indent'), ('function\n square_perimeter(a) {\n //begin to write code\n', '\n        <|im_end|>\n**Created Question**:\nHow can I modify the `square_perimeter` function to calculate the perimeter of a square given its side length?', 'line_split')]}"
7,"const NO_OF_CHARS = 256;
function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}
function listToString(list) {
    return list.join('');
}
function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
    //begin to write code
",406,"const NO_OF_CHARS = 256;

function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}

function listToString(list) {
    return list.join('');
}

function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function removeDirtyChars(string, secondString) {
    let count = getCharCountArray(secondString);
    let ipInd = 0;
    let resInd = 0;
    let temp = '';
    let strList = strToList(string);
    while (ipInd != strList.length) {
        temp = strList[ipInd];
        if (count[temp.charCodeAt(0)] == 0) {
            strList[resInd] = strList[ipInd];
            resInd += 1;
        }
        ipInd += 1;
    }
    return listToString(strList.slice(0, resInd));
}

","function removeCharsFromFirstString(str, secondStr) {
    // Convert strings to arrays of characters
    const list1 = strToList(str);
    const list2 = strToList(secondStr);

    // Create an array to hold characters that are present in both strings
    const commonChars = [];

    // Iterate over the first string and find common characters
    for (let char of list1) {
        if (list2.includes(char)) {
            commonChars.push(char);
        }
    }

    // Join the common characters into a string
    const result = listToString(commonChars);

    return result;
}

// Example usage
const str = ""hello"";
const secondStr = ""world"";
const result = removeCharsFromFirstString(str, secondStr);

",,,,-2,1,0.2210425019264221,code_style:None,0.0,0.0,
8,"//function definition
function test_duplicate(arraynums) {
//begin to write code
",81,"//function definition
function test_duplicate(arraynums) {
    const nums_set = new Set(arraynums);
    return arraynums.length !== nums_set.size;
}

","//function definition
function test_duplicate(arraynums) {
    let seen = new Set();
    for (let num of arraynums) {
        if (seen.has(num)) {
            return true;
        }
        seen.add(num);
    }
    return false;
}

//test the function with some example arrays




",,,,-2,1,0.2177632451057434,code_style:None,0.0,0.0,
9,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code
",181,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 === 0) { 
        x = x / 2;
        p += 1;
        if (p === x) { 
            return true;
        }
    }
    return false;
}

","function is_woodball(x) {
    if (x % 2 === 0) {
        return false;
    }
    if (x === 1) {
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code

    // Your code here

    //end to write code

    return p === 0; // This should be true if the number is woodball
}
","function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code
","function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 === 0) { 
        x = x / 2;
        p += 1;
        if (p === x) { 
            return true;
        }
    }
    return false;
}

","function is_woodball(x) {
    if (x % 2 === 0) {
        return false;
    }
    if (x === 1) {
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code
    // Your code here
    //...
    // End of your code
    //...

    return false; // Example return value, replace with the actual logic
}
",1,3,0.4018101215362549,code_style:tab_indent,1.0,0.0,"{'function is_woodall(x) { \n    if (x % 2 === 0) { \n        return false;\n    }\n    if (x === 1) { \n        return true;\n    }\n    x = x + 1;\n    let p = 0;\n    while (x % 2 === 0) { \n        x = x / 2;\n        p += 1;\n        if (p === x) { \n            return true;\n        }\n    }\n    return false;\n}\n\n': [('function is_woodall(x) { \n    if (x % 2 === 0) { \n        return false;\n    }\n    if (x === 1) { \n        return true;\n    }\n    x = x + 1;\n    let p = 0;\n    //begin to write code\n', 'function is_woodball(x) {\n    if (x % 2 === 0) {\n        return false;\n    }\n    if (x === 1) {\n        return true;\n    }\n    x = x + 1;\n    let p = 0;\n    //begin to write code\n    // Your code here\n    //...\n    // End of your code\n    //...\n\n    return false; // Example return value, replace with the actual logic\n}\n', 'tab_indent')]}"
