Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    //begin to write code
",214,"function remove_Occ(s, ch) {
    for (let i = 0; i < s.length; i++) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    for (let i = s.length - 1; i >= 0; i--) {
        if (s[i] === ch) {
            s = s.substring(0, i) + s.substring(i + 1);
            break;
        }
    }
    return s;
}

","// Complete code (including all the content of the code I provided and the code you generated)
",,,,-2,1,0.23035566409428915,code_stmt_exchange:None,0.0,0.0,
1,"function sortMatrix(M) {
//begin to write code
",47,"function sortMatrix(M) {
    return M.sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));
}

","function sortMatrix(M) {
    // Sort the matrix in ascending order based on the sum of its rows
    M.sort((a, b) => {
        let rowSumA = a.reduce((sum, num) => sum + num, 0);
        let rowSumB = b.reduce((sum, num) => sum + num, 0);

        if (rowSumA < rowSumB) {
            return -1;
        } else if (rowSumA > rowSumB) {
            return 1;
        } else {
            return 0; // If sums are equal, maintain original order
        }
    });

    return M;
}

// Example usage:
const matrix = [
    [3, 1, 4],
    [1, 5, 9],
    [2, 6, 8]
];

const sortedMatrix = sortMatrix(matrix);

","function sortMatrix(M) {
//begin to write code
","function sortMatrix(M) {
    return M.sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));
}

","/**
 * Sorts a given matrix in ascending order according to the sum of its rows.
 *
 * @param {number[][]} M - The matrix to be sorted.
 * @returns {number[][]} - The sorted matrix.
 */
function sortMatrix(M) {
  // Implement the sorting logic here
  // Example: Sort each row based on the sum of its elements
  for (let i = 0; i < M.length; i++) {
    M[i].sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));
  }
  return M;
}

// Example usage:
const matrix = [
  [1, 2, 3],
  [4, 5, 6],
  [7, 8, 9]
];

const sortedMatrix = sortMatrix(matrix);

",1,3,0.6996761679649353,code_stmt_exchange:for_var_inner,1.0,0.0,"{'function sortMatrix(M) {\n    return M.sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));\n}\n\n': [('function sortMatrix(M) {\n//begin to write code\n', '/**\n * Sorts a given matrix in ascending order according to the sum of its rows.\n *\n * @param {number[][]} M - The matrix to be sorted.\n * @returns {number[][]} - The sorted matrix.\n */\nfunction sortMatrix(M) {\n  // Implement the sorting logic here\n  // Example: Sort each row based on the sum of its elements\n  for (let i = 0; i < M.length; i++) {\n    M[i].sort((a, b) => a.reduce((sum, num) => sum + num, 0) - b.reduce((sum, num) => sum + num, 0));\n  }\n  return M;\n}\n\n// Example usage:\nconst matrix = [\n  [1, 2, 3],\n  [4, 5, 6],\n  [7, 8, 9]\n];\n\nconst sortedMatrix = sortMatrix(matrix);\n\n', 'for_var_inner')]}"
2,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
        //begin to write code
",176,"function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    const sortedWordCounts = Object.entries(wordCounts).sort((a, b) => b[1] - a[1]);

    return sortedWordCounts.slice(0, 4);
}

","/**
 * Counts the most common words in a dictionary.
 *
 * @param {string[]} words - An array of words to count.
 * @return {Object} An object containing the most common words and their counts.
 */
function count_common(words) {
    const wordCounts = words.reduce((acc, word) => {
        acc[word] = (acc[word] || 0) + 1;
        return acc;
    }, {});

    let maxCount = 0;
    let mostCommonWords = {};

    for (const [word, count] of Object.entries(wordCounts)) {
        if (count > maxCount) {
            maxCount = count;
            mostCommonWords = { [word]: count };
        } else if (count === maxCount) {
            mostCommonWords[word] += count;
        }
    }

    return mostCommonWords;
}

// Example usage:
const words = [""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""apple""];

",,,,-2,1,0.31951326529184976,code_stmt_exchange:None,0.0,0.0,
3,"function find_Volume(l, b, h) {
//begin to write code
",54,"function find_Volume(l, b, h) {
    return ((l * b * h) / 2);
}

","function find_Volume(l, b, h) {
  // Calculate the volume of the triangular prism
  const volume = l * b * h;
  return volume;
}

// Example usage
const length = 5;
const width = 3;
const height = 4;
const volume = find_Volume(length, width, height);

",,,,-2,1,0.2500410517056783,code_stmt_exchange:None,0.0,0.0,
4,"function splitLowerstring(text) {
//begin to write code
",56,"function splitLowerstring(text) {
  return text.match(/[a-z][^a-z]*/g);
}

","function splitLowerstring(text) {
    return text.split(/[^a-z]/);
}

// Test cases






",,,,-2,1,0.33837998708089195,code_stmt_exchange:None,0.0,0.0,
5,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
        //begin to write code
",178,"function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    } else {
        return 'Not matched!';
    }
}

","// Importing necessary package
const _ = require('lodash');

/**
 * Finds sequences of lowercase letters joined with an underscore.
 * @param {string} text - The input string to search through.
 * @returns {string} - A message indicating whether a match was found.
 */
function text_lowercase_underscore(text) {
    const patterns = '^[a-z]+_[a-z]+$';
    if (text.match(patterns)) {
        return 'Found a match!';
    }
    return 'No match found.';
}

// Test cases





",,,,-2,1,0.3804459452629089,code_stmt_exchange:None,0.0,0.0,
6,"function square_perimeter(a) {
    let perimeter = 4 * a;
    //begin to write code
",84,"function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

","// Complete code (including all the content of the code I provided and the code you generated)
function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

// Example usage:



","function square_perimeter(a) {
    let perimeter = 4 * a;
    //begin to write code
","function square_perimeter(a) {
    let perimeter = 4 * a;
    return perimeter;
}

","// Complete code (including all the content of the code I provided and the code you generated)
",1,7,1.0994444807370505,code_stmt_exchange:elseif2else_if,1.0,0.0,"{'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n': [('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', '// Importing necessary packages if any\n// (In this case, no external packages are required)\n\n/**\n * Calculates the perimeter of a square given its side length.\n * \n * @param {number} sideLength - The length of the side of the square.\n * @return {number} The perimeter of the square.\n */\nfunction square_perimeter(sideLength) {\n    return 4 * sideLength;\n}\n\n// Example usage\nconst side = 5;\nconst perimeter = square_perimeter(side);\n\n', 'for_var_outer'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', 'function square_perimeter(a) {\n    let perimeter = 4 * a;\n    return perimeter;\n}\n\n// Example usage:\n\n\n', 'for_var_inner'), ('function square_perimeter(a) {\n    let perimeter = 4 * a;\n    //begin to write code\n', '// Complete code (including all the content of the code I provided and the code you generated)\n', 'elseif2else_if')]}"
7,"const NO_OF_CHARS = 256;
function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}
function listToString(list) {
    return list.join('');
}
function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
    //begin to write code
",406,"const NO_OF_CHARS = 256;

function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}

function listToString(list) {
    return list.join('');
}

function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function removeDirtyChars(string, secondString) {
    let count = getCharCountArray(secondString);
    let ipInd = 0;
    let resInd = 0;
    let temp = '';
    let strList = strToList(string);
    while (ipInd != strList.length) {
        temp = strList[ipInd];
        if (count[temp.charCodeAt(0)] == 0) {
            strList[resInd] = strList[ipInd];
            resInd += 1;
        }
        ipInd += 1;
    }
    return listToString(strList.slice(0, resInd));
}

","function removeCharsFromFirstString(str1, str2) {
    const set1 = new Set(str1);
    const result = [];
    for (const char of str2) {
        if (!set1.has(char)) {
            result.push(char);
        }
    }
    return result.join('');
}

// Example usage:
const str1 = ""hello"";
const str2 = ""world"";
const result = removeCharsFromFirstString(str1, str2);

",,,,-2,1,0.24914997816085815,code_stmt_exchange:None,0.0,0.0,
8,"//function definition
function test_duplicate(arraynums) {
//begin to write code
",81,"//function definition
function test_duplicate(arraynums) {
    const nums_set = new Set(arraynums);
    return arraynums.length !== nums_set.size;
}

","//function definition
function test_duplicate(arraynums) {
    // Create a Set from the array to remove duplicates
    const uniqueElements = new Set(arraynums);
    
    // Compare the lengths of the Set and the original array
    if (uniqueElements.size!== arraynums.length) {
        return true; // Duplicate found
    } else {
        return false; // No duplicates found
    }
}

// Example usage
const numbers = [1, 2, 3, 4, 5];

",,,,-2,1,0.3552135308583578,code_stmt_exchange:None,0.0,0.0,
9,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    //begin to write code
",181,"function is_woodall(x) { 
    if (x % 2 === 0) { 
        return false;
    }
    if (x === 1) { 
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 === 0) { 
        x = x / 2;
        p += 1;
        if (p === x) { 
            return true;
        }
    }
    return false;
}

","``javascript
// Function to check if a number is a woodball
function is_woodball(x) {
    // Check if the number is even
    if (x % 2 === 0) {
        return false;
    }
    // Check if the number is 1
    if (x === 1) {
        return true;
    }
    // If the number is odd and greater than 1, it's a woodball
    x += 1;
    let p = 0;
    while (p < x) {
        if (x % 2 === 0) {
            p++;
        } else {
            break;
        }
    }
    return p === x;
}

// Example usage








console",,,,-2,1,0.3303929130236308,code_stmt_exchange:None,0.0,0.0,
