Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"def remove_Occ(s,ch):
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
            #begin to write code
",166,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","def remove_Occ(s, ch):
    """"""
    Removes the first and last occurrence of a given character from the string.
    
    Parameters:
    - s (str): The input string.
    - ch (str): The character to remove from the string.
    
    Returns:
    - str: The modified string with the first and last occurrence of the character removed.
    """"""
    if not s or not ch:
        return s
    
    # Remove the first occurrence of the character
    s = s.replace(ch, '')
    
    # Remove the last occurrence of the character
    s = s.replace(ch, '')
    
    return s
",,,,-2,1,0.22901572783788046,code_stmt_exchange:None,0.0,0.0,
1,"def sort_matrix(M):
    result = sorted(M, key=sum)
    #begin to write code
",77,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result

# Example usage:
matrix = [
    [3, 1, 4],
    [5, 9, 2],
    [6, 8, 1]
]

sorted_matrix = sort_matrix(matrix)
print(sorted_matrix)
","def sort_matrix(M):
    result = sorted(M, key=sum)
    #begin to write code
","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","# Import necessary packages
import numpy as np

def sort_matrix(M):
    """"""
    Sorts a given matrix in ascending order based on the sum of its rows.
    
    Parameters:
    M (np.array): A 2D numpy array representing the matrix to be sorted.
    
    Returns:
    np.array: A 2D numpy array with the rows sorted in ascending order based on the sum of their elements.
    """"""
    # Calculate the sum of each row
    row_sums = np.sum(M, axis=1)
    # Sort the rows based on the sum
    sorted_M = np.sort(row_sums, axis=0)
    return sorted_M

# Example usage
M = np.array([[3, 5, 1], [1, 2, 4], [2, 3, 6]])
sorted_M = sort_matrix(M)
print(sorted_M)
",1,3,0.40123066504796345,code_stmt_exchange:else_if2elseif,1.0,0.0,"{'def sort_matrix(M):\n    result = sorted(M, key=sum)\n    return result': [('def sort_matrix(M):\n    result = sorted(M, key=sum)\n    #begin to write code\n', '# Import necessary packages\nimport numpy as np\n\ndef sort_matrix(M):\n    """"""\n    Sorts a given matrix in ascending order based on the sum of its rows.\n    \n    Parameters:\n    M (np.array): A 2D numpy array representing the matrix to be sorted.\n    \n    Returns:\n    np.array: A 2D numpy array with the rows sorted in ascending order based on the sum of their elements.\n    """"""\n    # Calculate the sum of each row\n    row_sums = np.sum(M, axis=1)\n    # Sort the rows based on the sum\n    sorted_M = np.sort(row_sums, axis=0)\n    return sorted_M\n\n# Example usage\nM = np.array([[3, 5, 1], [1, 2, 4], [2, 3, 6]])\nsorted_M = sort_matrix(M)\nprint(sorted_M)\n', 'else_if2elseif')]}"
2,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  #begin to write code
",111,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
","from collections import Counter

def count_common(words):
    # Count the frequency of each word
    word_counts = Counter(words)
    
    # Find the maximum frequency
    max_frequency = max(word_counts.values())
    
    # Filter out words with the maximum frequency
    common_words = {word: count for word, count in word_counts.items() if count == max_frequency}
    
    return common_words

# Example usage
words = [""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""banana""]
common = count_common(words)
print(common)  # Output: {'apple': 3, 'banana': 3}
",,,,-2,1,0.20286592245101928,code_stmt_exchange:None,0.0,0.0,
3,"def find_Volume(l,b,h) :
    #begin to write code
",50,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","from typing import *
from collections import *

def find_Volume(l, b, h):
    # Calculate the volume of a triangular prism using the formula: V = l * b * h / 3
    return l * b * h / 3

# Example usage:
l = 5
b = 3
h = 4
volume = find_Volume(l, b, h)
print(""The volume of the triangular prism is:"", volume)
",,,,-2,1,0.15249414841334025,code_stmt_exchange:None,0.0,0.0,
4,"import re
def split_lowerstring(text):
    #begin to write code
",64,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))","import re

def split_lowerstring(text):
    # Use regular expression to split the text at lowercase letters
    return re.split(r'[a-z]', text)

# Example usage
text = ""Hello World""
result = split_lowerstring(text)
print(result)  # Output: ['Hello', 'World']
",,,,-2,1,0.16132934093475343,code_stmt_exchange:None,0.0,0.0,
5,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
        #begin to write code
",152,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","import re

def text_lowercase_underscore(text):
    """"""
    Find sequences of lowercase letters joined with an underscore.
    
    Parameters:
    text (str): The input string to search for sequences of lowercase letters.
    
    Returns:
    list: A list of all sequences found in the input string.
    """"""
    # Regular expression pattern to match sequences of lowercase letters joined with an underscore
    pattern = '^[a-z]+_[a-z]+$'
    
    # Find all matches in the text
    matches = re.findall(pattern, text)
    
    return matches

# Example usage
input_text = ""HelloWorld""
print(text_lowercase_underscore(input_text))  # Output: ['hello', 'world']
",,,,-2,1,0.19679079055786133,code_stmt_exchange:None,0.0,0.0,
6,"def square_perimeter(a):
  perimeter=4*a
  #begin to write code
",64,"def square_perimeter(a):
  perimeter=4*a
  return perimeter","def square_perimeter(a):
    perimeter = 4 * a
    return perimeter
","def square_perimeter(a):
  perimeter=4*a
  #begin to write code
","def square_perimeter(a):
  perimeter=4*a
  return perimeter","# Complete code (including all the content of the code I provided and the code you generated)
",1,11,0.9064249714215596,code_stmt_exchange:for2while,1.0,0.0,"{'def square_perimeter(a):\n  perimeter=4*a\n  return perimeter': [('def square_perimeter(a):\n  perimeter=4*a\n  #begin to write code\n', 'def square_perimeter(a):\n    perimeter = 4 * a\n    return perimeter\n\n# Example usage:\nprint(square_perimeter(5))  # Output: 20\n', 'for_var_outer'), ('def square_perimeter(a):\n  perimeter=4*a\n  #begin to write code\n', 'def square_perimeter(a):\n    perimeter = 4 * a\n    return perimeter\n', 'for_var_inner'), ('def square_perimeter(a):\n  perimeter=4*a\n  #begin to write code\n', 'def square_perimeter(a):\n    # Begin to write code\n    perimeter = 4 * a\n    return perimeter\n', 'elseif2else_if'), ('def square_perimeter(a):\n  perimeter=4*a\n  #begin to write code\n', '# Define the function to calculate the perimeter of a square\ndef square_perimeter(a):\n    # Calculate the perimeter of the square using the formula 4 * a\n    perimeter = 4 * a\n    return perimeter\n\n# Example usage of the function\na = 5\nprint(f""The perimeter of a square with side length {a} is {square_perimeter(a)}"")\n', 'for2while'), ('def square_perimeter(a):\n  perimeter=4*a\n  #begin to write code\n', '# Complete code (including all the content of the code I provided and the code you generated)\n', 'for2while')]}"
7,"def str_to_list(string):
NO_OF_CHARS = 256
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
	#begin to write code
",295,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","        <|im_end|>


",,,,-2,1,0.2110682249069214,code_stmt_exchange:None,0.0,0.0,
8,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    #begin to write code
",90,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(nums_set)!= len(arraynums)

# Example usage:
array_nums = [1, 2, 3, 4, 5]
print(test_duplicate(array_nums))  # Output: True
","def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    #begin to write code
","def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","        <|im_end|>


",1,7,0.8075939019521078,code_stmt_exchange:elseif2else_if,1.0,0.0,"{'def test_duplicate(arraynums):\n    nums_set = set(arraynums)    \n    return len(arraynums) != len(nums_set)     ': [('def test_duplicate(arraynums):\n    nums_set = set(arraynums)    \n    #begin to write code\n', ""from typing import List\n\ndef test_duplicate(arraynums: List[int]) -> bool:\n    # Create a set from the array to remove duplicates\n    nums_set = set(arraynums)\n    \n    # Check if the length of the set is less than the original list's length\n    return len(nums_set) < len(arraynums)\n\n# Example usage:\narray = [1, 2, 3, 4, 5, 6]\nprint(test_duplicate(array))  # Output: True\n"", 'for2while'), ('def test_duplicate(arraynums):\n    nums_set = set(arraynums)    \n    #begin to write code\n', 'from typing import List\n\ndef test_duplicate(arraynums: List[int]) -> bool:\n    # Create a set from the array to remove duplicates\n    unique_elements = set(arraynums)\n    \n    # Compare the length of the original array with the length of the set\n    return len(arraynums)!= len(unique_elements)\n\n# Example usage:\narray = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]\nprint(test_duplicate(array))  # Output: True\n', 'for2while'), ('def test_duplicate(arraynums):\n    nums_set = set(arraynums)    \n    #begin to write code\n', '        <|im_end|>\n\n\n', 'elseif2else_if')]}"
9,"def is_woodall(x):
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	#begin to write code
",123,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False","from typing import *
from collections import *

def is_woodball(x):
    if (x % 2 == 0):
        return False
    if (x == 1):
        return True
    x = x + 1
    p = 0
    # Begin to write code
    while (p < 10):
        if (x % 2 == 0):
            return False
        if (x == 1):
            return True
        x = x + 1
        p += 1
    return False
",,,,-2,1,0.19943393468856813,code_stmt_exchange:None,0.0,0.0,
